03:23:56 INFO device=cuda out_dir=runs\20260627_032356_segformer_b2 smoke=False
03:23:57 INFO train=5604 val=622 batches/epoch=1401
03:24:02 INFO resumed from runs/20260622_020144_segformer_b2/last.pth: starting epoch 9, best_iou=0.4736
04:17:34 INFO epoch 16 step 1100/1401 loss 0.2680 lr 4.02e-05
04:17:46 INFO epoch 16 step 1150/1401 loss 0.2770 lr 4.02e-05
04:17:58 INFO epoch 16 step 1200/1401 loss 0.2451 lr 4.01e-05
04:18:11 INFO epoch 16 step 1250/1401 loss 0.2660 lr 4.00e-05
04:18:23 INFO epoch 16 step 1300/1401 loss 0.2606 lr 3.99e-05
04:18:36 INFO epoch 16 step 1350/1401 loss 0.2669 lr 3.98e-05
04:18:48 INFO epoch 16 step 1400/1401 loss 0.2660 lr 3.97e-05
04:19:29 INFO == epoch 16 val: iou=0.4990 dice=0.6657
04:20:11 INFO epoch 17 step 50/1401 loss 0.2460 lr 3.97e-05
04:20:23 INFO epoch 17 step 100/1401 loss 0.2956 lr 3.96e-05
04:20:35 INFO epoch 17 step 150/1401 loss 0.2639 lr 3.95e-05
04:20:48 INFO epoch 17 step 200/1401 loss 0.2783 lr 3.94e-05
04:21:00 INFO epoch 17 step 250/1401 loss 0.2452 lr 3.93e-05
04:21:12 INFO epoch 17 step 300/1401 loss 0.2733 lr 3.92e-05
04:21:24 INFO epoch 17 step 350/1401 loss 0.2827 lr 3.92e-05
04:21:36 INFO epoch 17 step 400/1401 loss 0.2822 lr 3.91e-05
04:21:49 INFO epoch 17 step 450/1401 loss 0.2763 lr 3.90e-05
04:22:01 INFO epoch 17 step 500/1401 loss 0.2616 lr 3.89e-05
04:22:13 INFO epoch 17 step 550/1401 loss 0.2657 lr 3.88e-05
04:22:25 INFO epoch 17 step 600/1401 loss 0.2797 lr 3.87e-05
04:22:38 INFO epoch 17 step 650/1401 loss 0.2637 lr 3.86e-05
04:22:50 INFO epoch 17 step 700/1401 loss 0.2631 lr 3.86e-05
04:23:02 INFO epoch 17 step 750/1401 loss 0.2814 lr 3.85e-05
04:23:14 INFO epoch 17 step 800/1401 loss 0.2710 lr 3.84e-05
04:23:26 INFO epoch 17 step 850/1401 loss 0.2518 lr 3.83e-05
04:23:39 INFO epoch 17 step 900/1401 loss 0.2755 lr 3.82e-05
04:23:51 INFO epoch 17 step 950/1401 loss 0.2849 lr 3.81e-05
04:24:03 INFO epoch 17 step 1000/1401 loss 0.2804 lr 3.81e-05
04:24:16 INFO epoch 17 step 1050/1401 loss 0.2792 lr 3.80e-05
04:24:28 INFO epoch 17 step 1100/1401 loss 0.2704 lr 3.79e-05
04:24:40 INFO epoch 17 step 1150/1401 loss 0.2684 lr 3.78e-05
04:24:52 INFO epoch 17 step 1200/1401 loss 0.2629 lr 3.77e-05
04:25:04 INFO epoch 17 step 1250/1401 loss 0.2736 lr 3.76e-05
04:25:16 INFO epoch 17 step 1300/1401 loss 0.2576 lr 3.75e-05
04:25:29 INFO epoch 17 step 1350/1401 loss 0.2704 lr 3.75e-05
04:25:41 INFO epoch 17 step 1400/1401 loss 0.2729 lr 3.74e-05
04:26:23 INFO == epoch 17 val: iou=0.5037 dice=0.6699
04:27:04 INFO epoch 18 step 50/1401 loss 0.2465 lr 3.73e-05
04:27:16 INFO epoch 18 step 100/1401 loss 0.2678 lr 3.72e-05
04:27:29 INFO epoch 18 step 150/1401 loss 0.2769 lr 3.71e-05
04:27:41 INFO epoch 18 step 200/1401 loss 0.2707 lr 3.70e-05
04:27:53 INFO epoch 18 step 250/1401 loss 0.2758 lr 3.69e-05
04:28:05 INFO epoch 18 step 300/1401 loss 0.2916 lr 3.68e-05
04:28:18 INFO epoch 18 step 350/1401 loss 0.2909 lr 3.68e-05
04:28:30 INFO epoch 18 step 400/1401 loss 0.2683 lr 3.67e-05
04:28:42 INFO epoch 18 step 450/1401 loss 0.2661 lr 3.66e-05
04:28:54 INFO epoch 18 step 500/1401 loss 0.2617 lr 3.65e-05
04:29:06 INFO epoch 18 step 550/1401 loss 0.2761 lr 3.64e-05
04:29:18 INFO epoch 18 step 600/1401 loss 0.2908 lr 3.63e-05
04:29:30 INFO epoch 18 step 650/1401 loss 0.2568 lr 3.62e-05
04:29:43 INFO epoch 18 step 700/1401 loss 0.2920 lr 3.62e-05
04:29:55 INFO epoch 18 step 750/1401 loss 0.2519 lr 3.61e-05
04:30:07 INFO epoch 18 step 800/1401 loss 0.2664 lr 3.60e-05
04:30:19 INFO epoch 18 step 850/1401 loss 0.2438 lr 3.59e-05
04:30:32 INFO epoch 18 step 900/1401 loss 0.2571 lr 3.58e-05
04:30:44 INFO epoch 18 step 950/1401 loss 0.2614 lr 3.57e-05
04:30:56 INFO epoch 18 step 1000/1401 loss 0.2732 lr 3.56e-05
04:31:08 INFO epoch 18 step 1050/1401 loss 0.2660 lr 3.55e-05
04:31:20 INFO epoch 18 step 1100/1401 loss 0.2849 lr 3.55e-05
04:31:33 INFO epoch 18 step 1150/1401 loss 0.2795 lr 3.54e-05
04:31:45 INFO epoch 18 step 1200/1401 loss 0.2621 lr 3.53e-05
04:31:57 INFO epoch 18 step 1250/1401 loss 0.2675 lr 3.52e-05
04:32:10 INFO epoch 18 step 1300/1401 loss 0.2852 lr 3.51e-05
04:32:22 INFO epoch 18 step 1350/1401 loss 0.2789 lr 3.50e-05
04:32:34 INFO epoch 18 step 1400/1401 loss 0.2575 lr 3.49e-05
04:33:15 INFO == epoch 18 val: iou=0.5059 dice=0.6719
04:33:15 INFO   new best iou=0.5059 -> best.pth
04:33:58 INFO epoch 19 step 50/1401 loss 0.2763 lr 3.49e-05
04:34:10 INFO epoch 19 step 100/1401 loss 0.2803 lr 3.48e-05
04:34:22 INFO epoch 19 step 150/1401 loss 0.2817 lr 3.47e-05
04:34:35 INFO epoch 19 step 200/1401 loss 0.2565 lr 3.46e-05
04:34:47 INFO epoch 19 step 250/1401 loss 0.2657 lr 3.45e-05
04:34:59 INFO epoch 19 step 300/1401 loss 0.2815 lr 3.44e-05
04:35:11 INFO epoch 19 step 350/1401 loss 0.2827 lr 3.43e-05
04:35:23 INFO epoch 19 step 400/1401 loss 0.2622 lr 3.42e-05
04:35:36 INFO epoch 19 step 450/1401 loss 0.2373 lr 3.42e-05
04:35:48 INFO epoch 19 step 500/1401 loss 0.2712 lr 3.41e-05
04:36:00 INFO epoch 19 step 550/1401 loss 0.2909 lr 3.40e-05
04:36:12 INFO epoch 19 step 600/1401 loss 0.2716 lr 3.39e-05
04:36:25 INFO epoch 19 step 650/1401 loss 0.2478 lr 3.38e-05
04:36:37 INFO epoch 19 step 700/1401 loss 0.2653 lr 3.37e-05
04:36:49 INFO epoch 19 step 750/1401 loss 0.2717 lr 3.36e-05
04:37:01 INFO epoch 19 step 800/1401 loss 0.2719 lr 3.35e-05
04:37:13 INFO epoch 19 step 850/1401 loss 0.2625 lr 3.34e-05
04:37:25 INFO epoch 19 step 900/1401 loss 0.2627 lr 3.34e-05
04:37:38 INFO epoch 19 step 950/1401 loss 0.2573 lr 3.33e-05
04:37:50 INFO epoch 19 step 1000/1401 loss 0.2572 lr 3.32e-05
04:38:02 INFO epoch 19 step 1050/1401 loss 0.2756 lr 3.31e-05
04:38:14 INFO epoch 19 step 1100/1401 loss 0.2663 lr 3.30e-05
04:38:27 INFO epoch 19 step 1150/1401 loss 0.2729 lr 3.29e-05
04:38:39 INFO epoch 19 step 1200/1401 loss 0.2625 lr 3.28e-05
04:38:51 INFO epoch 19 step 1250/1401 loss 0.2796 lr 3.27e-05
04:39:03 INFO epoch 19 step 1300/1401 loss 0.2787 lr 3.27e-05
04:39:15 INFO epoch 19 step 1350/1401 loss 0.2883 lr 3.26e-05
04:39:28 INFO epoch 19 step 1400/1401 loss 0.2583 lr 3.25e-05
04:40:09 INFO == epoch 19 val: iou=0.4969 dice=0.6639
04:40:51 INFO epoch 20 step 50/1401 loss 0.2707 lr 3.24e-05
04:41:03 INFO epoch 20 step 100/1401 loss 0.2556 lr 3.23e-05
04:41:15 INFO epoch 20 step 150/1401 loss 0.2626 lr 3.22e-05
04:41:27 INFO epoch 20 step 200/1401 loss 0.2759 lr 3.21e-05
04:41:39 INFO epoch 20 step 250/1401 loss 0.2551 lr 3.20e-05
04:41:52 INFO epoch 20 step 300/1401 loss 0.2490 lr 3.19e-05
04:42:04 INFO epoch 20 step 350/1401 loss 0.2732 lr 3.19e-05
04:42:16 INFO epoch 20 step 400/1401 loss 0.2652 lr 3.18e-05
04:42:28 INFO epoch 20 step 450/1401 loss 0.2617 lr 3.17e-05
04:42:41 INFO epoch 20 step 500/1401 loss 0.2824 lr 3.16e-05
04:42:53 INFO epoch 20 step 550/1401 loss 0.2445 lr 3.15e-05
04:43:05 INFO epoch 20 step 600/1401 loss 0.2760 lr 3.14e-05
04:43:17 INFO epoch 20 step 650/1401 loss 0.2441 lr 3.13e-05
04:43:29 INFO epoch 20 step 700/1401 loss 0.2858 lr 3.12e-05
04:43:42 INFO epoch 20 step 750/1401 loss 0.2734 lr 3.12e-05
04:43:54 INFO epoch 20 step 800/1401 loss 0.2495 lr 3.11e-05
04:44:06 INFO epoch 20 step 850/1401 loss 0.2868 lr 3.10e-05
04:44:18 INFO epoch 20 step 900/1401 loss 0.2527 lr 3.09e-05
